claim_id,exact_claim,scientific_question,comparison,independent_actor_seeds,states_per_seed,trials,raw_artifact,generation_code,checkpoint_identity,result,evidence_tier,limitation,destination,status
C11,Three local parameter-plane probes for one pure-RL actor report negative alignment between frozen-critic loss and real rollout return loss.,Why can an actor update that follows the critic reduce real performance?,"One seed, three random two-dimensional parameter slices, 25 cells per slice",1,128,384,reports/systematic_joint_followup_20260722/pure_seed0_actor_parameter_landscape/simba_full_official_opt__seed0__15c8edcb,scripts/diagnose_parameter_loss_landscape.py,One pure-RL actor and frozen critic family,mean reported projected gradient cosine -0.8157 across three slices,C,One actor and three random planes cannot establish global parameter-space geometry or a general causal mechanism.,annex only,exploratory; do not use as central explanation
C12,The current diagnostics detect no dormant layer at the registered threshold for the selected finalists.,Is dormancy associated with the observed reliability gap?,Registered actor and critic layer activation summaries for selected finalists,5,99,495,reports/systematic_joint_followup_20260722/pure_rl_gap_diagnostics_training_aligned_v2/pure_rl_gap_diagnostics.json,scripts/diagnose_pure_rl_gap.py,Selected pure-RL finalist checkpoints,dormant-unit evidence 0 at the registered threshold,C,A negative result at one activation threshold does not rule out other forms of representation degradation.,annex only,exploratory negative result
C13,The short joint-loss pilot shows actor-gradient scale imbalance and frequent BC-SAC conflict in some conditions.,Why might naive simultaneous DAgger and SAC training fail?,Single-seed short joint-loss conditions with different actor-loss combinations,1,2501,2501,reports/systematic_joint_followup_20260722/joint_loss_training_diagnostics_seed0/joint_loss_diagnostics.json,scripts/diagnose_joint_loss_screen.py,Single-seed 5k joint-loss checkpoints,condition-dependent weighted BC-to-SAC gradient ratio and gradient cosine; exact values remain condition-specific,C,"The screen is short, single-seed, and some arms use disallowed fixed training-state anchors.",annex and motivation for the clean matched experiment,preliminary only
C14,"In the completed 25k seed-0 simultaneous BC plus SACn8 pilot, the joint actor reaches 2443 of 2501 near-reference successes while the matched reward-only control reaches 1757; the median weighted BC-to-SAC actor-gradient norm ratio is 37.19.",What happens when behavior cloning and SAC share one actor update from random initialization?,One seed of simultaneous static reference-anchor BC plus SACn8 against its matched reward-only control,1,2501,2501,deliverables/chasing_nines_20260723/joint_loss_pilot_summary.json,scripts/build_joint_loss_pilot_diagnostic_20260723.py,Terminal 25k checkpoints for sm2_joint_bc_plus_sac_same_update_after6k and sm0_pure_sac_after6k,joint near 2443/2501; task 2336/2501; strict 164/2501; reward-only near 1757/2501; task 1931/2501; strict 31/2501; median weighted gradient ratio 37.19; cosine range -0.943 to 0.935,C,"This is one seed, lacks BC-only and staged controls, uses static reference anchors rather than learner-state DAgger, and uses equally weighted SACn8 rather than properly weighted FastSACN8.",report main diagnostic and annex,completed pilot; mechanism hypothesis only
C15,"Within the 321 grid cells where pure actor outcomes vary across seeds, failed seeds have a farther nearest training reset in 51.1% of cells and a sparser 256-neighbor replay neighborhood in 24.9%.",Is the pure-RL reliability tail caused by missing state coverage?,Within-cell failed-versus-successful seed comparison on the same initial state,5,321,1605,reports/plan2307_mechanistic_20260723/exploration_optimization_actor/coverage_by_seed_state.csv,scripts/diagnose_exploration_optimization_gap_20260723.py,Exact checkpoint and replay hashes in reports/plan2307_mechanistic_20260723/synthesis/mechanistic_story_summary.json,reset-farther 164/321; replay-sparser 80/321; two-sided reset sign-test p=0.738,B,Replay density is endogenous because failed trajectories can linger in hard regions; reset coverage is the cleaner exploration check.,report main,five-seed fixed-checkpoint diagnostic; broad missing-reset coverage weakened
C16,"A stored training trajectory beats the terminal pure actor from the identical start by more than five return units in 29 of 2500 episodes, or 1.16%.",Does pure RL generate good complete trajectories that its final actor fails to retain?,Historical stochastic behavior trajectory against the terminal deterministic actor from the identical episode start,5,500,2500,reports/plan2307_mechanistic_20260723/exploration_optimization_actor/experience_to_policy_by_episode.csv,scripts/diagnose_exploration_optimization_gap_20260723.py,Exact checkpoint and replay hashes in reports/plan2307_mechanistic_20260723/synthesis/mechanistic_story_summary.json,history beats final by any amount 237/2500; by more than 5 on 29/2500; final actor wins 2263/2500,B,"Each initial state has one historical trajectory from a changing stochastic policy, so this is not an oracle over possible behavior.",report main,five-seed exact-start diagnostic; large complete-trajectory compression gap weakened
C17,"Among 1021 pure-actor near-reference failures, a reference-like action occurs within 0.25 torque units among the 256 nearest replay actions in 98.9% of cases.",Does replay contain locally corrective actions where the actor fails?,Frozen failure states joined to the same seed's replay and offline reference action,5,2501,12505,reports/plan2307_mechanistic_20260723/replay_action_support_actor_5seed/replay_action_support_rows.csv,scripts/diagnose_critic_flatness.py; scripts/diagnose_replay_action_support.py,Exact checkpoint and replay hashes in reports/plan2307_mechanistic_20260723/synthesis/mechanistic_story_summary.json,reference-like replay action in 1010/1021 failures; median minimum action difference 0.000105,B,Nearest-state action support does not show that the optimizer sampled the transition at the useful time or assigned it the correct target.,report main,five-seed frozen-replay support diagnostic
C18,One reference first action followed by the pure actor improves return by more than five on 119 of 1021 actor failures; the critic assigns positive advantage to 64 of those 119 actions.,Are pure failures actor errors that the critic can repair locally?,"First-action intervention followed by the frozen actor, with frozen twin-critic ranking",5,2501,12505,reports/plan2307_mechanistic_20260723/first_divergence_actor/first_divergence_rows.csv,scripts/diagnose_first_divergence_20260723.py,Exact checkpoint hashes in reports/plan2307_mechanistic_20260723/synthesis/mechanistic_story_summary.json,one-step gain above 5 on 11.66% of failures; critic recall 53.78% on that subset,B,The intervention localizes an actor and critic error but does not identify the optimizer update that created it.,report main and poster candidate,five-seed counterfactual; delayed sequence error plus imperfect critic repair supported
C19,"Pure-actor failure trajectories cross the registered state-divergence threshold at step 5 at the median, compared with step 18 for the 35 mixed-actor failures.",Does learner-state supervision delay compounding trajectory error?,Frozen pure and mixed actors rolled out beside the selected stored reference from identical initial states,10,2501,25010,reports/plan2307_mechanistic_20260723/first_divergence_actor/first_divergence_rows.csv; reports/plan2307_mechanistic_20260723/first_divergence_mixed_actor/first_divergence_rows.csv,scripts/diagnose_first_divergence_20260723.py,Five pure and five mixed checkpoint hashes in reports/plan2307_mechanistic_20260723/synthesis/mechanistic_story_summary.json,pure failures n=1021 median divergence step 5; mixed failures n=35 median divergence step 18; stored actor returns reproduced exactly,B,The mixed failure group is small and the two training pipelines use unequal resources; the comparison is descriptive rather than a causal estimate.,report main and poster candidate,five seeds per family; delayed trajectory drift interpretation supported
C20,"The 119 one-step-repairable pure-actor failures and the other 902 failures form distinct first-action regimes: 117 of 119 repairable cases use the opposite torque sign from the reference, while 828 of 902 other failures place the actor at the torque bound.",Are the residual pure-RL failures gross local action errors or saturated sequence-timing errors?,"Frozen pure actor and stored reference first action, joined exactly by seed and initial state to the one-step intervention outcome",5,2501,12505,reports/plan2307_mechanistic_20260723/saturation_failure_modes/saturation_failure_mode_rows.csv,scripts/diagnose_saturation_failure_modes_20260723.py,Source diagnostic and checkpoint hashes in reports/plan2307_mechanistic_20260723/saturation_failure_modes/saturation_failure_mode_summary.json and reports/plan2307_mechanistic_20260723/synthesis/mechanistic_story_summary.json,repairable opposite-sign 117/119; repairable actor saturation 68/119; other-failure actor saturation 828/902; other-failure same-sign 766/902; median tanh derivative 0.007553 versus 0.000412,B,"Saturation marks a hard control regime, but a low local tanh derivative does not prove that a useful optimizer update was blocked; the non-repairable label tests only one first action.",report main and poster candidate,five-seed exact join; two-mode failure interpretation supported
C21,"On the frozen seed-0 off-grid set, replacing the one-step target with equal-weight FastSACN8 loses 173 near-reference passes under the same reflection plus Q-search rule and coincides with higher full-support actor saturation.","Does equal-weight FastSACN8 improve the selected pure-RL SimbaV2 recipe, and what failure signature appears if it does not?",One-step SimbaV2 seed 0 against exact FastSACN8 P1 seed 0 on 5553 paired frozen off-grid states,1,5553,5553,reports/plan2307_pure_fastsacn8_seed0_diagnostic_20260723/paired_offgrid_rows.csv; reports/plan2307_pure_fastsacn8_seed0_diagnostic_20260723/summary.json,scripts/diagnose_fastsacn8_seed0_failure_20260723.py,Baseline and P1 checkpoint hashes are recorded in their frozen off-grid evaluation manifests,"ordinary actor near 5102 versus 4263; locked Q-search near 5212 versus 5039; task 5156 versus 4996; strict 1162 versus 1211; saturation 56.6% versus 86.5%; mean reflection-action error 0.105 versus 0.590; among 334 baseline-only passes the FastSACN8 actor is saturated on 96.4%, has mean reflection error 2.203, and chooses the same torque sign in 55.1% of mirrored state pairs versus 1.5% for baseline; zero dormant layers",C,"This is one trained seed, the target definitions change the critic loss scale, and saturation is an associated frozen-policy geometry rather than a demonstrated causal mechanism.",annex candidate pending five-seed confirmation,preliminary seed-0 result; five-seed factorial active
C22,"Across the FastSACN8 P1 seed-0 checkpoints, full-support actor saturation rises from 32.7% at 10k steps to 86.5% at 100k while a 20-start online evaluation is nearly flat from 30k onward and the logged scalar losses appear stable.",Can ordinary learning curves hide a degradation in the policy geometry that controls rare-state reliability?,"Ten checkpoints from one exact FastSACN8 P1 seed evaluated on the same frozen off-grid state set, with the run's logged online evaluation and losses",1,5553,55530,reports/plan2307_pure_fastsacn8_seed0_diagnostic_20260723/checkpoint_geometry.csv; reports/plan2307_pure_fastsacn8_seed0_diagnostic_20260723/checkpoint_geometry.png,scripts/diagnose_fastsacn8_seed0_failure_20260723.py,Checkpoint paths and steps are recorded in checkpoint_geometry.csv; the 100k hash matches the P1 frozen-evaluation manifest,saturation 0.3269 at 10k and 0.8655 at 100k; mean tanh derivative 0.1860 to 0.0388; 20-episode task success 0.75 at each checkpoint from 30k through 100k; mean absolute checkpoint action change peaks at 0.3848 from 80k to 90k,C,This is one seed; the online evaluation has only 20 starts per checkpoint; raw critic-loss magnitude is target-specific; the time series establishes coexistence and timing rather than causation.,annex diagnostic pending five-seed confirmation,preliminary checkpoint time series; five-seed factorial active
C23,"On a locked 512-state off-grid sample, the current pure-RL critics point in the realized locally beneficial action direction on 73.1% of seed-state trials and a finite critic-gradient step is harmful on 27.8%; the mixed pipeline's shared FastSACN critic obtains 77.8% direction agreement and 22.4% harmful steps.",Does the mixed versus pure reliability gap reflect local critic-gradient quality or actor saturation?,Five pure actors with their own critics versus five mixed actors with the selected shared FastSACN critic; the first action is perturbed and control returns to the same frozen actor,10,512,5120,reports/plan2307_mechanistic_20260723/action_gradient_alignment_512/critic_action_gradient_rows.csv; reports/plan2307_mechanistic_20260723/action_gradient_alignment_512/summary.json,scripts/diagnose_critic_action_gradient_alignment_20260723.py,Five pure actor-critic checkpoint hashes and five mixed actor hashes plus the shared critic hash are recorded in summary.json,"pure direction agreement 73.1%, harmful step 27.8%, twin-gradient agreement 71.4%, saturation 67.1%; mixed direction agreement 77.8%, harmful step 22.4%, twin-gradient agreement 80.9%, saturation 89.9%",B,The mixed condition has one shared selected critic and only one near-reference failure in this sample. The finite first-action perturbation measures a local policy-evaluation landscape and does not identify a causal training update.,report or annex after final recipe comparison,five-seed frozen intervention; saturation-only explanation weakened and local critic-gradient error retained
C24,"A one-step reference prefix repairs 184 of 1021 pure-actor near-reference failures, while 8, 16, and 32 reference-controlled steps repair 556, 922, and 1020 failures. Sustained state-shuffled or zero-torque prefixes do not reproduce the effect.","How long must corrective control persist before the frozen pure actor can complete the trajectory, and is recovery specific to a state-matched corrective sequence?","The better stored reference solver controls only an initial prefix and then returns control to the same frozen actor, repeated for five pure and five mixed actor seeds. On the same 1021 pure failures, specificity controls use state-shuffled reference actions or zero torque for 1, 8, 16, or 32 steps.",10,2501,25010,reports/plan2307_mechanistic_20260723/reference_prefix_intervention/summary.json; reports/plan2307_mechanistic_20260723/reference_prefix_intervention/per_seed.csv; reports/plan2307_mechanistic_20260723/reference_prefix_intervention/specificity_control.csv,scripts/diagnose_reference_prefix_intervention_20260723.py,All ten zero-prefix rollouts reproduce the stored actor return exactly; actor run paths are registered in configs/plan2307_reference_prefix_diagnostic_20260723.json,"pure repair 184/1021 at 1 step, 556/1021 at 8, 922/1021 at 16, 1020/1021 at 32; at 16 steps state-shuffled repairs 114/1021 and zero torque 89/1021; at 32 steps state-shuffled repairs 5/1021 and zero torque 0/1021; mixed repair 5/35 at 1, 8/35 at 8, 26/35 at 16, 35/35 at 32",B,This post-selection intervention uses the standardized authority grid and a reference unavailable at deployment. It localizes corrective duration and state specificity but does not identify the training update that created the error. Strict-win values are not interpreted because a fresh reference re-rollout is not numerically identical to the stored reference returns.,report main or annex; poster candidate,five-seed frozen sequence intervention; sustained state-matched correction interpretation supported by shuffled-action and zero-torque controls
C25,"A completed seed-zero 100k replay-symmetry augmentation loses 68 of 5,553 off-grid near-reference successes and 3 task successes against its matched one-step baseline deployment, while gaining 448 strict wins.",Does adding mirrored transitions to pure-RL replay improve reliability enough to justify five-seed promotion?,"Seed-zero SimbaV2 one-step SAC with Pendulum replay symmetry augmentation versus the matched clean one-step baseline, both using reflection plus global 41-action unanimous Q-search on the same locked off-grid states",1,5553,5553,reports/systematic_pure_rl_improvements_20260722/frozen_offgrid_evaluations/p29_symmetry_augmentation_only_100k/evaluation.json; reports/systematic_pure_rl_improvements_20260722/incremental_reports/063_p51_clean_sacn_fastlast8_lambda1_utd1_100k/pure_rl_seed0_offgrid_ranking.json,scripts/rank_pure_rl_improvement_screen.py,symmetry checkpoint sha256 7a2181826999476a8214c3e746b69b34ecc4ccbd7d255f7c18d37dfeb98f5760,near delta -68/5553; task delta -3/5553; strict delta +448/5553; mean-return delta +0.031619,C,"This is one seed and tests replay augmentation under the one-step target. It does not rule out direct actor or critic symmetry losses, or interactions with a different temporal target.",annex; adaptive-screen rationale,complete negative seed-zero reliability screen; no automatic five-seed promotion
C26,"Across two registered actor-parameter directions, the seed-zero pure actor's own critic has mean Spearman correlation -0.498 with realized mean return and choosing the critic-best cell costs 1.177 return within the slice.",Does the pure-RL optimization gap include local misalignment between the frozen critic objective and realized policy return in parameter space?,"Two hash-locked orthogonal actor-parameter planes around pure SimbaV2 seed zero, with its own frozen critic, paired deterministic rollouts, and fixed diagnostic states; a mixed actor plus shared deployment critic is shown only as a descriptive scale comparator",1,64,3200,reports/plan2307_mechanistic_20260723/parameter_landscapes/pure_seed0/parameter_landscape_index.json; reports/plan2307_mechanistic_20260723/parameter_landscapes/comparison_summary.json,scripts/diagnose_parameter_loss_landscape.py; scripts/summarize_plan2307_parameter_landscapes_20260724.py,Pure checkpoint and direction hashes are recorded in the landscape index; the mixed comparison uses its registered actor checkpoint and frozen shared FastSACN critic,pure direction Spearman -0.550 and -0.446; mean -0.498; critic-best cell realized-return regret 1.300 and 1.053; mean 1.177; mixed descriptive return range 0.119 versus pure 1.296,C,"Only seed zero and two random directions are tested. A two-dimensional slice cannot establish the global topology. The mixed actor uses a shared deployment critic rather than the critic that created its supervised actor, and architecture and local-scale differences prevent a causal sharpness comparison.",annex or remove,completed direction-dependent diagnostic; consistent with local pure critic-policy misalignment
C27,"The clean five-seed 99.960% near-reference result is outside the 100k selected-lineage budget at 260,000 learning transitions and also uses 8,000,000 automatic discovery rollout steps. The other five-seed 99.960% family uses 300,000 selected-lineage transitions and manually specified hard120 and near_down training regions.",Why is a stored 99.960% result not the selected clean result under the project's legality and budget rule?,"All standardized five-seed rows at or above 99.95% near-reference success are classified by selected-lineage learning transitions, automatic discovery interactions, and manual-region dependencies",5,2501,12505,reports/two_repo_forensic_inventory_20260723/unique_standardized_evaluations.csv,scripts/inventory_all_results_two_repos_20260723.py,Canonical result and dependency identities are recorded in the standardized ledger,"general_hybrid_99p9_20260718: 12500/12505 near, selected lineage 260000, discovery 8000000, clean; large_simba_gain1005_5seed: 12500/12505 near, selected lineage 300000, manual hard120 and near_down dependencies, cheating",A,"This claim explains eligibility, not comparative method quality. Simulator discovery interactions and learning transitions are different resource units and must stay separate.",report audit sentence and annex,systematic two-repository eligibility classification
C28,"Across five completed equal-weight FastSACN8 seeds, actor and critic scalar losses settle without late explosion while the 20-start online task-success curve is nearly flat after 10,000 transitions; these curves do not reveal the seed-zero 173-pass off-grid near-reference deficit.",Can ordinary loss curves and a small online evaluation diagnose the fixed-grid reliability tail?,"All logged checkpoints of the five P1 SimbaV2 FastSACN8 lambda-1 UTD-1 actor-critic seeds, with the terminal seed-zero off-grid result used only as an external reliability contrast",5,20,100,reports/plan2307_mechanistic_20260723/fastsacn8_loss_curves/loss_curve_rows.csv; reports/plan2307_mechanistic_20260723/fastsacn8_loss_curves/summary.json; reports/plan2307_pure_fastsacn8_seed0_diagnostic_20260723/summary.json,scripts/build_plan2307_fastsacn8_loss_curves_20260724.py,Five final checkpoint hashes are recorded in runs/plan2307_completion_20260723/pure_target_architecture_matrix/completion_manifest.json and the reused seed-zero source is recorded there,at 100k median actor loss 0.1002 with seed range 0.0782 to 0.1196; median critic loss 0.4472 with range 0.3473 to 0.4895; median 20-start task success 0.75 with range 0.70 to 0.75; seed-zero reflection-plus-Q off-grid near delta versus P0 is -173/5553,B,"The 20-start evaluation is too small to estimate fixed-grid near-reference reliability. The loss scales are specific to this target and implementation, and the seed-zero reliability contrast is only one trained seed until the registered five-seed frozen-state evaluation finishes.",annex; later replace or augment with locked-state checkpoint curves,completed five-seed scalar diagnostic; reliability interpretation is deliberately negative
C29,"Within the same 321 initial-state cells where pure seeds disagree, failed seeds show no positive perturbation-sensitivity gap through 16 steps, but at 32 steps they amplify tiny initial-state perturbations more than successful seeds in 68.5% of cells.",When does seed-dependent closed-loop fragility become visible relative to the delayed sequence failure?,"Frozen pure actors receive symmetric angle and velocity perturbations of 0.001; failed and successful seeds are compared within the same initial state at horizons 1, 4, 8, 16, and 32",5,321,12505,reports/plan2307_mechanistic_20260723/closed_loop_sensitivity/closed_loop_sensitivity_rows.csv; reports/plan2307_mechanistic_20260723/closed_loop_sensitivity/closed_loop_sensitivity_summary.json; reports/plan2307_mechanistic_20260723/closed_loop_sensitivity_eps0005/closed_loop_sensitivity_summary.json; reports/plan2307_mechanistic_20260723/closed_loop_sensitivity_eps002/closed_loop_sensitivity_summary.json,scripts/diagnose_closed_loop_sensitivity_20260724.py,All five pure and five mixed actor checkpoint hashes are recorded in each closed-loop sensitivity summary,"at 32 steps median failed-minus-successful log10 amplification 0.2124, equivalent to 1.63x; failed seeds more sensitive in 68.5% of variable cells; exact two-sided sign-test p=2.694e-11; every pure seed has higher median 32-step sensitivity on failure trials; epsilon 0.0005 gives 68.5% and 0.2234, epsilon 0.002 gives 67.3% and 0.2015",B,"Near-reference outcome defines the groups, so sensitivity may be a consequence of missing the stable upright basin. The finite perturbation is not a global Lyapunov exponent, and authority-grid states are used only after policy selection.",report main compressed; full plot in annex,five-seed same-state frozen-policy diagnostic; delayed fragility interpretation supported with a fourfold scale check
C30,Replacing the matched one-step target with FastSACN8 increases frozen-state actor saturation in all five paired seeds by 24.4 percentage points on average. SACn8 has nearly the same saturation as FastSACN8 but lower reflection error in four of five paired seeds.,"Do the multi-step critic targets alter the learned actor geometry, and does the all-horizon SACn8 loss differ from FastSACN8?","Five one-step, five FastSACN8, and five SACn8 SimbaV2 actors evaluated on the same 5,553 locked off-grid initial states without rollout or reference scoring",15,5553,83295,reports/plan2307_mechanistic_20260723/completed_target_actor_geometry/seed_actor_geometry.csv; reports/plan2307_mechanistic_20260723/completed_target_actor_geometry/summary.json; reports/plan2307_mechanistic_20260723/completed_target_actor_geometry/completed_target_actor_geometry.png,scripts/diagnose_plan2307_completed_target_actor_geometry_20260724.py,Run paths and the common state SHA256 are recorded in the summary; final checkpoint hashes are recorded in the matrix completion manifest and the P0 configuration audit,"FastSACN8 minus one-step saturation paired deltas +0.299,+0.257,+0.278,+0.050,+0.337; mean +0.244; median tanh derivative 0.120 one-step versus 0.0388 FastSACN8; SACn8 minus FastSACN8 mean saturation delta +0.00155; SACn8 reflection error lower in four of five paired seeds with median paired delta -0.0957",B,"The training target is controlled, but the measured geometry is post-training. Return and near-reference outcomes are intentionally absent, so the diagnostic cannot determine whether greater saturation or lower symmetry error improves reliability.",annex; promote only if it explains the final target ranking,completed matched five-seed frozen-state actor diagnostic; no authority-grid access
C31,"FastSACN8 and SACn8 actors continue to change over the locked state set after their 20-start online task-success curves become nearly flat. At 100,000 transitions, their median action change from the preceding 10,000-step checkpoint is 0.197 and 0.128 torque, while median saturation has risen to 86.9% and 86.7%.",Does a flat small online evaluation mean that the multi-step policies have stopped changing in function space?,"Ten checkpoints from each of five FastSACN8 and five SACn8 actors evaluated on the same 5,553 locked off-grid initial states; action churn is measured between adjacent 10,000-step checkpoints",10,5553,555300,reports/plan2307_mechanistic_20260723/target_policy_churn/target_policy_churn_rows.csv; reports/plan2307_mechanistic_20260723/target_policy_churn/summary.json; reports/plan2307_mechanistic_20260723/target_policy_churn/target_policy_churn.png,scripts/diagnose_plan2307_target_policy_churn_20260724.py,"Run paths, checkpoint steps, and the common state SHA256 are recorded in the rows and summary; checkpoint identities are rooted in the matrix completion manifest",FastSACN8 median saturation 0.328 at 10k and 0.869 at 100k; SACn8 0.223 and 0.867; final adjacent-checkpoint mean action churn 0.197 and 0.128 torque; final sign-flip fractions 0.0472 and 0.0303; median 20-start task success is 0.75 at 100k for both,B,"Checkpoints are 10,000 transitions apart, so the measurement aliases faster per-update churn and cannot identify the minibatch that caused an action change. Historical one-step controls saved final checkpoints only and are absent from the time series. The small online evaluation has only 20 starts.",annex; compact main sentence only if linked to final late reliability,completed five-seed checkpoint diagnostic; no authority-grid or reference access
